date,time,r_dest,b_dest,win,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,dmg_m1,dmg_m2,dmg_m3,dmg_m4,dmg_m5,dmg_m6,dmg_m7,dmg_m8,dmg_m9,dmg_m10,dmg_m11,dmg_m12,dmg_m13,dmg_m14,dmg_m15,dmg_m16,dmg_m17,dmg_m18,dmg_m19,dmg_m20,dmg_m21,dmg_m22,dmg_m23,dmg_m24,david,casie,jason
20171118,1124AM,7,12,1,MAD,BNC,EBJ,CP,KGC,NVA,BJ,MAD,MAL,ARC,KDK,ENF,ENF,ENF,ENF,SNV,QKD,QKD,TNS,TNS,WHM,NTG,RVN,GRF,602,331,248,222,1273,198,99,385,382,252,153,102,775,694,112,96,693,380,325,0,350,240,59,36,m11,m10,m8
20171118,1110AM,9,11,1,RGH,COU,NTG,NTG,ON1,KDK,LCT,UZL,SNV,TBR,DWF,PXH,UM,MAL,MAD,QKD,KGC,UM,EBJ,CPLT,MDD,SHC,GRF,NVA,732,314,347,100,750,738,247,89,409,436,384,34,409,340,270,78,1019,454,456,0,860,429,505,287,m3,m4,m1
20171118,1055AM,12,3,0,QKD,QKD,QKD,ENF,LBK,ASN,UM,UM,CP,SCR,VPR,LBK,GHR,CTF,TBR,WHM,SCR,LBK,MAD,WLF,RGH,NVA,EBJ,NTG,534,507,379,161,629,217,87,158,703,702,489,412,335,202,131,59,523,460,448,177,386,224,123,110,m24,m23,m21
20171118,1044AM,12,8,0,TNS,CPLT,SCR,SCR,BLR,WHM,MAD,KDK,SHD,TBR,CTF,WHM,RGH,ARC,NTG,HBK,MDD,GRF,WHM,KDK,KDK,SCR,HBR,UM,480,386,413,344,743,612,120,49,470,591,570,180,753,518,486,60,756,759,541,79,561,286,265,106,m3,m23,m1
